Animal_id Breed FX2 FX3 FX4 FX5 FX6 FX7 NAVEL COLOR Management_group Sex Proportion_taurine prob hap1 hap2
010001 TC PBE01 10 Belmont 3 NA Belmont 7 4 HD1__10760 Heifer_[H] 0.683434 0.915425796265155 72 129
010014 TC PBE01 10 Belmont 3 NA Belmont 6.33333 4 HD1__10766 Heifer_[H] 0.779459 0.993779624458443 73 75
010016 TC PBE01 10 Belmont 3 NA Belmont 7.5 4 HD1__550 Heifer_[H] 0.784095 0.999999999999685 77 131
010029 TC PBE01 10 Belmont 3 NA Belmont 8.33333 4 HD1__10761 Heifer_[H] 0.795123 0.991514368547679 129 145
010035 TC PBE01 10 Belmont 3 NA Belmont 8.66667 4 HD1__10775 Heifer_[H] 0.678335 0.951850168156578 72 79
010046 TC PBE01 10 Belmont 3 NA Belmont 9 4 HD1__10751 Heifer_[H] 0.812451 0.953515629566798 72 145
010064 TC PBE01 10 Belmont 0 NA Belmont 7.66667 4 HD1__10752 Heifer_[H] 0.735424 0.959045983536435 74 171
010072 TC PBE01 10 Belmont 0 NA Belmont 8.66667 4 HD1__10763 Heifer_[H] 0.819426 1 74 63
010085 TC PBE01 10 Belmont 3 NA Belmont 8.66667 4 HD1__10746 Heifer_[H] 0.843667 1 145 93
010101 TC PBE01 11 Belmont 3 NA Belmont 9 4.5 HD1__10770 Heifer_[H] 0.763251 1 145 145
010106 TC PBE01 11 Belmont 0 NA Belmont 9 3.5 HD1__10742 Heifer_[H] 0.891803 1 91 91
010114 TC PBE01 11 Belmont 3 NA Belmont 8.33333 4 HD1__559 Heifer_[H] 0.787366 0.915425796265155 72 129
010130 TC PBE01 11 Belmont 3 NA Belmont 8.33333 4 HD1__10753 Heifer_[H] 0.87296 1 145 93
010136 TC PBE01 11 Belmont 3 NA Belmont 9 4 HD1__10764 Heifer_[H] 0.774385 0.959323187817829 76 99
010159 TC PBE01 11 Belmont 0 NA Belmont 8 4 HD1__10771 Heifer_[H] 0.854757 0.911987144419809 172 91
010161 TC PBE01 11 Belmont 0 NA Belmont 7.66667 4 HD1__10778 Heifer_[H] 0.854344 0.985705343304503 145 74
010169 TC PBE01 11 Belmont 0 NA Belmont 8.33333 4 HD1__10749 Heifer_[H] 0.794891 0.988278181517396 79 40
010172 TC PBE01 11 Belmont 0 NA Belmont 8.5 4 HD1__10722 Heifer_[H] 0.806449 0.982220376835657 72 40
